team_abbreviation,full_team_name,tag,region,country,country_code,rank,score,record,earnings,founded_year,game,logo_url
T1D6,FIVE Media Clan,T1D6,Europe,Spain,es,65,1587.0,14–11,2745.0,,Valorant,https://owcdn.net/img/658433b7c86b4.png
B1O8,EKO Esports,B1O8,Europe,Italy,it,66,1586.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1JY,Lilmix,W1JY,Europe,Sweden,se,67,1586.0,20–10,294.0,,Valorant,https://owcdn.net/img/6722a1fe337a1.png
A1OE,Project Swede,A1OE,Europe,Sweden,se,68,1585.0,3–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1L3,GoodFor3,A1L3,Europe,Europe,,69,1584.0,8–7,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1KC,Rekka10,X1KC,Europe,International,,70,1583.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
WT2,FLX,WT2,Europe,Europe,,71,1583.0,9–4,0.0,,Valorant,https://owcdn.net/img/6526ea4807ab3.png
B1CS,DEMURY1,B1CS,Europe,International,,72,1581.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1O3,Axolotl Esports,X1O3,Europe,Italy,it,73,1581.0,6–3,0.0,,Valorant,https://owcdn.net/img/61239f7eceb75.png
B1OT,Anime Virgins,B1OT,Europe,International,,74,1580.0,6–1,525.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1J1,Lootcifer,V1J1,Europe,Europe,,75,1579.0,7–5,0.0,,Valorant,https://owcdn.net/img/665223d2c64eb.png
T1CS,yara mi lala,T1CS,Europe,International,,76,1579.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1MU,unsigned,Y1MU,Europe,Europe,,77,1578.0,9–6,0.0,,Valorant,https://owcdn.net/img/602de19d0348d.png
VAE,ehehxd,VAE,Europe,Portugal,,78,1578.0,3–2,13389.0,,Valorant,https://owcdn.net/img/650bfd70e1fac.png
V175,Ginger Supremacy,V175,Europe,Netherlands,,79,1577.0,0–0,3863.0,,Valorant,https://owcdn.net/img/64a133331a5fc.png
M1OS,Arise,M1OS,Europe,International,,80,1577.0,5–1,787.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1N3,NOVO Esports,X1N3,Europe,Italy,it,81,1575.0,3–3,0.0,,Valorant,https://owcdn.net/img/679b31bdacfbf.png
T1HK,NOM Esports,T1HK,Europe,Israel,,82,1574.0,4–5,863.0,,Valorant,https://owcdn.net/img/63b468dc4a167.png
X1CU,MRVZT,X1CU,Europe,International,,83,1573.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1PX,Ailurus eSports,W1PX,Europe,United Kingdom,gb,84,1573.0,3–2,0.0,,Valorant,https://owcdn.net/img/67bc984a8897e.png
A1LP,Varuna Esports,A1LP,Europe,International,,85,1571.0,4–1,1454.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1NI,NXT,Z1NI,Europe,Europe,,86,1571.0,3–3,0.0,,Valorant,https://owcdn.net/img/649a2957de006.png
Y1HZ,Reveal Multigaming,Y1HZ,Europe,Germany,de,87,1571.0,12–6,1349.0,,Valorant,https://owcdn.net/img/63cdc0cd727b8.png
X1D2,Mania,X1D2,Europe,Denmark,dk,88,1571.0,14–6,0.0,,Valorant,https://owcdn.net/img/671950b03aff0.png
B1OE,Rising Talents,B1OE,Europe,Norway,,89,1570.0,6–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y17J,OblivionXC,Y17J,Europe,United Kingdom,gb,90,1570.0,0–0,311.0,,Valorant,https://owcdn.net/img/6462a431d296b.png
V1OE,Royal Elites,V1OE,Europe,International,,91,1570.0,3–1,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1HY,La rue,V1HY,Europe,International,,92,1569.0,9–5,540.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1M6,Turkey Wurkey,Q1M6,Europe,Europe,,93,1566.0,4–2,0.0,,Valorant,https://owcdn.net/img/6767eb869b5b0.png
W1FA,5HEAD,W1FA,Europe,Germany,de,94,1566.0,18–17,3717.0,,Valorant,https://owcdn.net/img/6705c97b3dce7.png
V140,ZennIT,V140,Europe,Europe,,95,1564.0,0–0,547.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1M5,mCon Esports,V1M5,Europe,Netherlands,,96,1563.0,3–2,0.0,,Valorant,https://owcdn.net/img/674da3370e6d9.png
T1KU,Team Colt,T1KU,Europe,United Kingdom,gb,97,1562.0,6–4,972.0,,Valorant,https://owcdn.net/img/67d0a4df62676.png
Q1OF,fisk123,Q1OF,Europe,Norway,,98,1562.0,5–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1CT,0LoseStreak,M1CT,Europe,International,,99,1561.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1NI,Fenerbahçe Esports,T1NI,Europe,Turkey,tr,100,1561.0,7–7,0.0,,Valorant,https://owcdn.net/img/61d82831a3b43.png
Q1KC,wombat123,Q1KC,Europe,Finland,fi,101,1560.0,9–7,1106.0,,Valorant,https://owcdn.net/img/67aaad35d2f45.png
Q1AA,MCRP Ultras,Q1AA,Europe,United Kingdom,gb,102,1560.0,0–0,790.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y15T,FLYMORE,Y15T,Europe,Poland,,103,1560.0,0–0,879.0,,Valorant,https://owcdn.net/img/642b08a5abdb7.png
W16H,VOICESAREBACK,W16H,Europe,International,,104,1560.0,0–0,550.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1OE,GODSENT,Q1OE,Europe,Sweden,se,105,1559.0,5–4,0.0,,Valorant,https://owcdn.net/img/5ede18d9bb1b8.png
M1HW,Evoza Esport,M1HW,Europe,France,fr,106,1559.0,8–5,2041.0,,Valorant,https://owcdn.net/img/65bb0f2e590ad.png
Y1O3,GMBLERS Esports,Y1O3,Europe,Italy,it,107,1559.0,5–4,0.0,,Valorant,https://owcdn.net/img/6754e317043a3.png
Y1OE,LEO Esports,Y1OE,Europe,Sweden,se,108,1558.0,2–1,0.0,,Valorant,https://owcdn.net/img/6793061485d64.png
Q1K7,Team Galaga,Q1K7,Europe,Spain,es,109,1557.0,12–10,1592.0,,Valorant,https://owcdn.net/img/65fa99f160265.png
A1OL,Tech Fleece Troopers,A1OL,Europe,United Kingdom,gb,110,1557.0,3–2,695.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1OQ,Cheesy Cheesington,X1OQ,Europe,Germany,de,111,1557.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1MP,NGU x 1000rr club,Y1MP,Europe,Spain,es,112,1556.0,5–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V16R,FearFerox,V16R,Europe,International,,113,1556.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1O3,Fishing Rods,Z1O3,Europe,Italy,it,114,1555.0,3–2,0.0,,Valorant,https://owcdn.net/img/653dc921d0b72.png
W1I2,Coalesce,W1I2,Europe,United Kingdom,gb,115,1555.0,13–13,817.0,,Valorant,https://owcdn.net/img/64261b07c6430.png
Y1OL,SevenFold,Y1OL,Europe,United Kingdom,gb,116,1555.0,3–2,1011.0,,Valorant,https://owcdn.net/img/67d0a6076818e.png
B1AA,VAMONOS,B1AA,Europe,Europe,,117,1554.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1NQ,Zero Tenacity,M1NQ,Europe,Poland,,118,1553.0,4–4,618.0,,Valorant,https://owcdn.net/img/642969ca2c5ad.png
V16D,TEAM HEADSHOT-HOMER,V16D,Europe,International,,119,1553.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1OE,Justice Esports,W1OE,Europe,Sweden,se,120,1552.0,2–1,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1AR,Project X,M1AR,Europe,Germany,de,121,1552.0,0–0,1800.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1NH,Pixel Lumina,M1NH,Europe,Poland,,122,1551.0,4–4,0.0,,Valorant,https://owcdn.net/img/6783b1e6d26f8.png
V1BG,NAPOLYON,V1BG,Europe,Turkey,tr,123,1551.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1KT,CONFIGSTARZ,Y1KT,Europe,Turkey,tr,124,1550.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1N3,KCORP Blue Stars,M1N3,Europe,France,fr,125,1548.0,3–3,0.0,,Valorant,https://owcdn.net/img/627403a0d9e48.png
X1NI,EXO Clan,X1NI,Europe,United Kingdom,gb,126,1548.0,6–5,618.0,,Valorant,https://owcdn.net/img/63d13fe4dc48d.png
A1KK,Seas Suas,A1KK,Europe,Ireland,,127,1548.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B18Y,ANANI SIK,B18Y,Europe,Europe,,128,1547.0,0–0,218.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X18I,Just eZ,X18I,Europe,International,,129,1546.0,0–0,823.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1K7,Ramboot Club,B1K7,Europe,Spain,es,130,1545.0,11–7,0.0,,Valorant,https://owcdn.net/img/64eb6f1b87567.png
Y1O2,Fractious Esports,Y1O2,Europe,Spain,es,131,1545.0,4–3,0.0,,Valorant,https://owcdn.net/img/6799c3f254ad6.png
W14J,RedPack eSports,W14J,Europe,Romania,,132,1544.0,0–0,0.0,,Valorant,https://owcdn.net/img/62effff24fdc7.png
X1MY,UNIWAY,X1MY,Europe,Russia,ru,133,1544.0,8–5,500.0,,Valorant,https://owcdn.net/img/67806b002f396.png
Q1MY,Dudes,Q1MY,Europe,Europe,,134,1542.0,4–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1EU,X1 Esports,V1EU,Europe,Turkey,tr,135,1542.0,3–2,1393.0,,Valorant,https://owcdn.net/img/66b702aac4fa2.png
W1M7,Formulation Gaming,W1M7,Europe,Europe,,136,1542.0,7–8,0.0,,Valorant,https://owcdn.net/img/6583ce375398a.png
Y1MW,SheshMans,Y1MW,Europe,Europe,,137,1542.0,4–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A156,Sandkasse,A156,Europe,International,,138,1542.0,0–0,907.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1L3,PULSE Esports,X1L3,Europe,Turkey,tr,139,1542.0,6–4,364.0,,Valorant,https://owcdn.net/img/676a01706614d.png
V19K,RANKED DEMONS,V19K,Europe,Turkey,tr,140,1542.0,0–0,800.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1CK,Flame Hard,Z1CK,Europe,Portugal,,141,1542.0,0–0,220.0,,Valorant,https://owcdn.net/img/6580d57b6bb2a.png
M1NU,ECO Fireflies,M1NU,Europe,International,,142,1542.0,3–2,105.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1OF,Bitfix Academy,Z1OF,Europe,Norway,,143,1539.0,4–5,0.0,,Valorant,https://owcdn.net/img/642c76a94a808.png
VP0,Irish Rizz Empire,VP0,Europe,Ireland,,144,1539.0,6–3,1553.0,,Valorant,https://owcdn.net/img/672696bf856a6.png
Y1KD,Monkey Momentum,Y1KD,Europe,Europe,,145,1539.0,3–3,0.0,,Valorant,https://owcdn.net/img/61ee293c67a68.png
Q1MU,eXtreme Gaming,Q1MU,Europe,Serbia,,146,1539.0,3–3,0.0,,Valorant,https://owcdn.net/img/62eaa8ed56ab4.png
Z1PK,Wintermint,Z1PK,Europe,Europe,,147,1539.0,3–3,0.0,,Valorant,https://owcdn.net/img/63618b31bd8b3.png
A1C4,EX0TIK GAMING,A1C4,Europe,Europe,,148,1538.0,6–12,2165.0,,Valorant,https://owcdn.net/img/622e13a6d77f0.png
VNC,ISOSIMO,VNC,Europe,Finland,fi,149,1538.0,4–4,138.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1AS,Scythe Of Seraph,Y1AS,Europe,Germany,de,150,1536.0,0–0,1200.0,,Valorant,https://owcdn.net/img/6332782986a8c.png
Q1BG,BLOK6,Q1BG,Europe,International,,151,1535.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1NI,S2G Esports,W1NI,Europe,Turkey,tr,152,1535.0,5–6,0.0,,Valorant,https://owcdn.net/img/628ccb7095263.png
T1OT,Alkohooligan,T1OT,Europe,International,,153,1534.0,3–3,157.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1K8,Imperium Gaming,X1K8,Europe,Spain,es,154,1534.0,5–5,0.0,,Valorant,https://owcdn.net/img/66617bf6bf70e.png
VYM,Akroma,VYM,Europe,France,fr,155,1533.0,3–8,4861.0,,Valorant,https://owcdn.net/img/6599526db80f1.png
Y1J5,LFO,Y1J5,Europe,Europe,,156,1533.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1OE,Still Gamblers,X1OE,Europe,Sweden,se,157,1532.0,2–2,0.0,,Valorant,https://owcdn.net/img/66f3e7758bdb0.png
T1OF,TN1GHT Clan,T1OF,Europe,Norway,,158,1531.0,4–4,0.0,,Valorant,https://owcdn.net/img/67b3bd4a8903d.png
V1KU,PURE Esports,V1KU,Europe,Europe,,159,1531.0,4–4,334.0,,Valorant,https://owcdn.net/img/671ea4e7bbe66.png
X1JY,Netsservices,X1JY,Europe,Denmark,dk,160,1530.0,11–10,0.0,,Valorant,https://owcdn.net/img/67269ac664a67.png
A1M3,GIANTX,A1M3,Europe,Europe,,161,1529.0,2–3,10000.0,,Valorant,https://owcdn.net/img/657b2f3fcd199.png
V1GW,K10,V1GW,Europe,United Kingdom,gb,162,1528.0,3–4,0.0,,Valorant,https://owcdn.net/img/6633db5150b35.png
M1BI,Skelp Esports,M1BI,Europe,Scotland,,163,1528.0,0–0,824.0,,Valorant,https://owcdn.net/img/6184472c9516e.png
B1KB,wade,B1KB,Europe,International,,164,1526.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1O2,Melilla Titans,A1O2,Europe,Spain,es,165,1526.0,3–4,0.0,,Valorant,https://owcdn.net/img/61f3da4a05247.png
Z1J3,XXL,Z1J3,Europe,Turkey,tr,166,1525.0,3–3,1843.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1BI,SOGBOX,B1BI,Europe,International,,167,1525.0,0–0,243.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1CR,Sila4i,B1CR,Europe,Ukraine,,168,1525.0,3–4,569.0,,Valorant,https://owcdn.net/img/65da42b4528ea.png
B1O2,thegiornalisti,B1O2,Europe,Italy,it,169,1524.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1KK,Big Brain Community,Z1KK,Europe,Ireland,,170,1524.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1J5,Honeybadger123,Z1J5,Europe,Europe,,171,1523.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z15Q,WLGaming Esports,Z15Q,Europe,Italy,it,172,1522.0,0–0,0.0,,Valorant,https://owcdn.net/img/63aab4f4ccd1c.png
B1JX,Royal Legion,B1JX,Europe,Europe,,173,1522.0,2–4,0.0,,Valorant,https://owcdn.net/img/66f09bcc5b1dd.png
B142,Kaizen,B142,Europe,International,,174,1522.0,0–0,1087.0,,Valorant,https://owcdn.net/img/64176aee5aa9b.png
T1LN,Karmine Corp,T1LN,Europe,Europe,,175,1522.0,2–4,0.0,,Valorant,https://owcdn.net/img/627403a0d9e48.png
Z1GE,Pingou Esport,Z1GE,Europe,France,fr,176,1521.0,2–4,491.0,,Valorant,https://owcdn.net/img/6421471114a1f.png
Q1NI,Fire Flux Esports,Q1NI,Europe,Turkey,tr,177,1520.0,3–7,0.0,,Valorant,https://owcdn.net/img/60b41997755c0.png
Z1HD,eQuizers,Z1HD,Europe,Spain,es,178,1519.0,3–5,0.0,,Valorant,https://owcdn.net/img/63ae5c5c21e61.png
V157,Team Legion,V157,Europe,International,,179,1519.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1KH,Permitta Unicorns,W1KH,Europe,Germany,de,180,1519.0,11–10,3345.0,,Valorant,https://owcdn.net/img/66459337d83ef.png
Q1LB,Linares eSports,Q1LB,Europe,Spain,es,181,1519.0,2–3,542.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1O2,Oxygen Gaming,T1O2,Europe,Spain,es,182,1516.0,2–4,0.0,,Valorant,https://owcdn.net/img/6774f782981d3.png
W1A6,FUZOS,W1A6,Europe,Portugal,,183,1515.0,2–3,1599.0,,Valorant,https://owcdn.net/img/6555b7171cbb6.png
Z1AX,666Eclipse,Z1AX,Europe,Ukraine,,184,1515.0,5–7,2705.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z172,Kindergarten children,Z172,Europe,International,,185,1515.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1KK,uy pilipins,Y1KK,Europe,Ireland,,186,1514.0,1–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1LC,Lotus Knights,Z1LC,Europe,Spain,es,187,1514.0,2–4,0.0,,Valorant,https://owcdn.net/img/66f4f830d3442.png
Y1MM,Revenant,Y1MM,Europe,Italy,it,188,1513.0,2–4,0.0,,Valorant,https://owcdn.net/img/67b0e8c2f2eb0.png
T1MZ,MuSe,T1MZ,Europe,Latvia,,189,1513.0,2–3,0.0,,Valorant,https://owcdn.net/img/67ae7cbfc8173.png
X1AC,Siko,X1AC,Europe,Netherlands,,190,1512.0,16–15,3219.0,,Valorant,https://owcdn.net/img/652e930a3b8c2.png
X1OL,THE EXPANSION PACK,X1OL,Europe,United Kingdom,gb,191,1509.0,1–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A185,RevSol Esports,A185,Europe,International,,192,1509.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1K7,Dimonis eSports,V1K7,Europe,Spain,es,193,1508.0,10–12,0.0,,Valorant,https://owcdn.net/img/6712e45d80961.png
Y1KH,Galakticos,Y1KH,Europe,Turkey,tr,194,1508.0,10–14,2930.0,,Valorant,https://owcdn.net/img/63c5c07322f2d.png
Q1JY,DMG Esports,Q1JY,Europe,Norway,,195,1508.0,4–10,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1BX,Tamaria Altunga Esports,B1BX,Europe,Turkey,tr,196,1507.0,0–0,0.0,,Valorant,https://owcdn.net/img/64baa47646520.png
A1N3,ZETA Gaming,A1N3,Europe,Spain,es,197,1506.0,2–6,0.0,,Valorant,https://owcdn.net/img/622248039d4e9.png
V1JI,Enhanced Aim,V1JI,Europe,International,,198,1506.0,1–4,193.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1KU,Twisted Saints Esports,W1KU,Europe,United Kingdom,gb,199,1506.0,5–9,227.0,,Valorant,https://owcdn.net/img/671ea56891df3.png
A1OF,Ionized Esports,A1OF,Europe,Norway,,200,1503.0,3–6,0.0,,Valorant,https://owcdn.net/img/671ea6faa3383.png
Y1OD,Espergærde eSport huleN,Y1OD,Europe,Denmark,dk,201,1502.0,2–4,0.0,,Valorant,https://owcdn.net/img/6429c7b98e3ba.png
A1JZ,Solid,A1JZ,Europe,International,,202,1502.0,3–9,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1JZ,Billy Bob Gaming,Y1JZ,Europe,Sweden,se,203,1502.0,6–10,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1D7,GTZ Esports,Z1D7,Europe,Portugal,,204,1502.0,7–10,0.0,,Valorant,https://owcdn.net/img/632a1a644a0fd.png
V1FC,BLINDOHOLIK,V1FC,Europe,International,,205,1501.0,1–2,200.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M14K,Regnum Carya Esports,M14K,Europe,Turkey,tr,206,1498.0,0–3,3201.0,,Valorant,https://owcdn.net/img/60d649259da4e.png
Z1JY,1Z,Z1JY,Europe,Europe,,207,1497.0,1–5,0.0,,Valorant,https://owcdn.net/img/6705fe0ea3590.png
B1BN,SPACEGLIDERS,B1BN,Europe,Portugal,,208,1496.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
QIM,who cars?,QIM,Europe,Denmark,dk,209,1495.0,1–5,10281.0,,Valorant,https://owcdn.net/img/6421b69725c7d.png
T1JY,Västerås Esportförening,T1JY,Europe,Sweden,se,210,1494.0,3–9,0.0,,Valorant,https://owcdn.net/img/67ca198bebb2d.png
B17T,Lundqvist Lightside,B17T,Europe,International,,211,1494.0,0–2,0.0,,Valorant,https://owcdn.net/img/67baa67b5584b.png
X1JK,Next In Line,X1JK,Europe,United Kingdom,gb,212,1493.0,2–5,97.0,,Valorant,https://owcdn.net/img/6479d1277d694.png
Z142,Dortmund Esports,Z142,Europe,Germany,de,213,1493.0,0–0,0.0,,Valorant,https://owcdn.net/img/627ae2afb8143.png
T1OE,The Nordic Stars,T1OE,Europe,International,,214,1490.0,0–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1LM,WYLDE,Y1LM,Europe,Ireland,,215,1488.0,4–6,0.0,,Valorant,https://owcdn.net/img/678fd74d8cf14.png
V1KP,KAMK.GG,V1KP,Europe,Finland,fi,216,1487.0,3–8,0.0,,Valorant,https://owcdn.net/img/62b48d3c61a75.png
B10R,NT4H Sunrise,B10R,Europe,Germany,de,217,1485.0,0–0,0.0,,Valorant,https://owcdn.net/img/6433bf564ec21.png
Q1JZ,Pushar Aldrig Nykter,Q1JZ,Europe,International,,218,1485.0,2–10,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1HD,Team Aku Aku,T1HD,Europe,Spain,es,219,1484.0,1–6,0.0,,Valorant,https://owcdn.net/img/65a384a5e88e4.png
V1M6,Orkadia Esports,V1M6,Europe,Ireland,,220,1484.0,2–5,0.0,,Valorant,https://owcdn.net/img/67077bbbb31e8.png
VOF,Big Blue Charizard,VOF,Europe,Germany,de,221,1483.0,0–0,1583.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1CW,XPERION NXT,A1CW,Europe,Germany,de,222,1482.0,19–21,4321.0,,Valorant,https://owcdn.net/img/663b1e3e5e827.png
A1CI,NEANLATIYONBOLM,A1CI,Europe,Turkey,tr,223,1481.0,2–4,433.0,,Valorant,https://owcdn.net/img/668cbb7298305.png
W1LP,TEAM NEXUS,W1LP,Europe,Turkey,tr,224,1480.0,1–4,0.0,,Valorant,https://owcdn.net/img/6754e8466b900.png
T1F5,G2 Gozen,T1F5,Europe,Europe,,225,1479.0,1–5,123473.0,,Valorant,https://owcdn.net/img/633822848a741.png
ZTQ,Veni eSports,ZTQ,Europe,Germany,de,226,1478.0,3–10,8404.0,,Valorant,https://owcdn.net/img/641fdb76e793c.png
A1OD,DVE Young Guns,A1OD,Europe,Denmark,dk,227,1476.0,1–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X170,SIMIA Esports,X170,Europe,International,,228,1475.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1OF,TEMPEZT,Y1OF,Europe,International,,229,1474.0,2–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1JZ,Oversea,Z1JZ,Europe,International,,230,1474.0,1–11,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1AE,FTW Leça FC Esports,V1AE,Europe,Portugal,,231,1470.0,1–4,0.0,,Valorant,https://owcdn.net/img/65bb53e2621b5.png
A1LC,Wygers,A1LC,Europe,Spain,es,232,1463.0,2–10,0.0,,Valorant,https://owcdn.net/img/5f24845da0f74.png
Z1HJ,ESC Gaming,Z1HJ,Europe,Europe,,233,1462.0,1–8,539.0,,Valorant,https://owcdn.net/img/659603e2e33e9.png
Q1EZ,Ovation eSports,Q1EZ,Europe,Europe,,234,1461.0,5–12,3262.0,,Valorant,https://owcdn.net/img/607340d8ad155.png
B156,Dog Nation,B156,Europe,Norway,,235,1459.0,9–14,228.0,,Valorant,https://owcdn.net/img/6454314d0b649.png
Y1KC,Valoja Päälle?,Y1KC,Europe,International,,236,1459.0,0–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1KD,The Rejects,Z1KD,Europe,International,,237,1458.0,0–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1KC,Möyhentäjät,W1KC,Europe,International,,238,1457.0,2–9,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
WO0,Lyost,WO0,Europe,France,fr,239,1457.0,5–6,547.0,,Valorant,https://owcdn.net/img/66188c11dc47b.png
W1N3,KPI Gaming,W1N3,Europe,Europe,,240,1456.0,0–6,0.0,,Valorant,https://owcdn.net/img/67646c9580bbd.png
T1KD,Buvik Esport,T1KD,Europe,International,,241,1455.0,1–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1HZ,RIZON,X1HZ,Europe,Germany,de,242,1455.0,1–12,0.0,,Valorant,https://owcdn.net/img/657eca10317fb.png
M1J2,Digital Athletics,M1J2,Europe,Turkey,tr,243,1454.0,8–14,3072.0,,Valorant,https://owcdn.net/img/622e8644004d9.png
V1JX,UKC Esport,V1JX,Europe,Denmark,dk,244,1447.0,1–11,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
YM0,QLASH,YM0,Europe,Italy,it,245,1447.0,3–5,617.0,,Valorant,https://owcdn.net/img/62efc0067ed80.png
A1FA,buchclub,A1FA,Europe,Germany,de,246,1439.0,0–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1OF,UiA Kraken,X1OF,Europe,International,,247,1438.0,1–8,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1HZ,AKA HERO,Z1HZ,Europe,Europe,,248,1437.0,1–11,0.0,,Valorant,https://owcdn.net/img/666e0838ba5c0.png
B1KD,Ascent Gaming,B1KD,Europe,International,,249,1436.0,0–7,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
WVC,BLX UTD,WVC,Europe,Netherlands,,250,1432.0,0–0,997.0,,Valorant,https://owcdn.net/img/63c7032bf00b6.png
Q1F0,Hurricane Of Feathers,Q1F0,Europe,Portugal,,251,1430.0,6–10,0.0,,Valorant,https://owcdn.net/img/659a585f6aaf5.png
A1KC,Ahlman Esports,A1KC,Europe,Finland,fi,252,1429.0,1–10,0.0,,Valorant,https://owcdn.net/img/60218f9851f80.png
Y142,PingPongPeek,Y142,Europe,International,,253,1406.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
BOQ,LOUD,BOQ,Brazil,Brazil,br,1,2000.0,10–15,937507.0,,Valorant,https://owcdn.net/img/62bbec8dc1b9f.png
